2019,amazing,aoc,baby,bad,beautiful,believe,best,better,birthday,bitch,cleared,damn,done,family,favorite,first,free,friend,friends,fun,game,girl,give,god,good,great,happy,hate,hi,high,home,hope,life,like,live,lol,love,money,morning,music,never,new,newyork,nice,nyfw,party,photo,play,pretty,read,ready,real,realdonaldtrump,right,shit,song,sotu,thank,thanks,TRUE,valentine,weekend,well,win,wish,women,world,wow,wrong,yes,lab_score,slang_count,exclam_count,text,date,location
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.366666667,0,0,b'Clients are like dogs; they can smell your fear.',Tue Feb 05 16:51:16 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.796363636,1,0,b'@AmazonHelp Do you know what ETA? So that I may plan my day accordingly with meetings?',Tue Feb 05 16:51:14 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.316666667,1,0,b'@KatrinaPierson Innocent until proven guilty.  I said this for Kavanaugh and I will give the Alf Gov the same benef\xe2\x80\xa6 https://t.co/Dp6YBxl1AJ',Tue Feb 05 16:51:13 +0000 2019,"Queens, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03,0,0,b'@quinncy https://t.co/YySuxp4NfX',Tue Feb 05 16:51:12 +0000 2019,"Queens, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.132,0,4,b'Honestly cannot wait for the future Democrat president to declare national emergency over climate change!!!!',Tue Feb 05 16:51:11 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,1,0,b'Gael Nation on deck. @IonaGaelsMBB https://t.co/iTs6bLSHKN',Tue Feb 05 16:51:11 +0000 2019,"Bronx, NY"
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,b'@dahboo7 better safe then sorry https://t.co/iN5ngqLlmW',Tue Feb 05 16:51:10 +0000 2019,"Manhattan, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,b'@MsPaparazzi \xf0\x9f\x98\x82\xf0\x9f\x98\x82',Tue Feb 05 16:51:10 +0000 2019,"Brooklyn, NY"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,1,"b'@effffyb different, but not bad!'",Tue Feb 05 16:51:09 +0000 2019,"Brooklyn, NY"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.876666667,0,0,b'#NFL Kyle Van Noy clowning Max Kellerman https://t.co/unQYnZ2d70',Tue Feb 05 16:51:07 +0000 2019,"Queens, NY"
